id;date;details;status;payment_method;payment_date;payment_amount;order_id
1;2020-04-01T22:32:50;RAM Focused;PAID;CASH_ON_DELIVERY;2020-04-02T06:54:57;64379;1
2;2020-04-01T19:22:56;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-04-02T00:33:14;17323;2
3;2020-04-01T23:50:21;Incredible Baby;CANCELLED;PAYPAL;2020-04-02T03:22:02;11017;3
4;2020-04-01T21:20:16;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-04-01T21:24:24;51438;4
5;2020-04-01T16:00:24;function;PAID;PAYPAL;2020-04-02T08:34:29;32278;5
6;2020-04-01T17:00:12;action-items;CANCELLED;CASH_ON_DELIVERY;2020-04-02T06:47:24;5232;6
7;2020-04-02T09:46:55;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-04-02T03:24:17;62169;7
8;2020-04-01T19:41:59;Toys;ISSUED;PAYPAL;2020-04-02T06:19:56;10756;8
9;2020-04-01T21:12:24;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-04-02T10:55:57;58055;9
10;2020-04-01T19:50:09;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-04-02T08:16:20;94075;10
