id;placed_date;status;code;customer_id
1;2020-04-02T05:54:50;COMPLETED;Georgia calculate withdrawal;1
2;2020-04-01T16:51:20;COMPLETED;compress Steel out-of-the-box;2
3;2020-04-01T18:22:32;PENDING;Concrete;3
4;2020-04-02T07:48:27;CANCELLED;Investment Account;4
5;2020-04-01T19:05:17;PENDING;United States of America;5
6;2020-04-02T09:17:21;CANCELLED;IB Industrial Credit Card Account;6
7;2020-04-02T12:23:46;CANCELLED;Cotton Egyptian Pound;7
8;2020-04-01T21:19:50;COMPLETED;Home Loan Account;8
9;2020-04-02T06:14:06;COMPLETED;Human;9
10;2020-04-01T16:22:44;CANCELLED;payment;10
