id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-04-01T15:21:00;payment unleash Jamaican Dollar;1
2;Rest;2020-04-02T10:37:30;Plains;2
3;Quality Plastic plum;2020-04-01T14:57:52;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-04-02T11:25:04;Architect SSL;4
5;zero tolerance;2020-04-02T08:21:23;user-facing CSS;5
6;ADP Ouguiya;2020-04-02T04:17:51;Garden;6
7;auxiliary;2020-04-02T12:33:51;functionalities Bedfordshire withdrawal;7
8;Data;2020-04-01T15:31:52;Viaduct hybrid;8
9;mesh;2020-04-02T13:57:31;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-04-02T11:56:25;Re-engineered withdrawal Ball;10
